id;typeOfQuestion;first_color;second_color;third_color;clicks;page_time;rating;resets;id_question
57149713464b1;objTwoColors;#FFFF00;0;0;0;1;1;0;1
57149713464b1;objTwoColors;#FF00FF;0;0;0;1;1;0;2
57149713464b1;objTwoColors;#80FF00;0;0;0;2;1;0;3
57149713464b1;objTwoColors;#7f00ff;0;0;0;1;1;0;4
57149713464b1;objTwoColors;#FF0080;0;0;0;1;1;0;5
57149713464b1;objTwoColors;#FF8000;0;0;0;6;1;0;6
57149713464b1;objTwoColors;#0000FF;0;0;0;2;1;0;7
57149713464b1;objTwoColors;#FF0000;0;0;0;1;1;0;8
57149713464b1;objTwoColors;#00FF80;0;0;0;1;1;0;9
57149713464b1;objTwoColors;#0080FF;0;0;0;3;1;0;10
57149713464b1;objTwoColors;#FF8000;0;0;0;3;1;0;11
57149713464b1;objTwoColors;#80FF00;0;0;0;12;1;1;12
57149713464b1;objTwoColors;#0080FF;0;0;0;15;1;0;13
57149713464b1;objTwoColors;#8000FF;0;0;0;1;1;0;14
57149713464b1;objTwoColors;#00FF80;0;0;0;1;1;0;15
57149713464b1;objTwoColors;#FF007F;0;0;0;1;1;0;16
57149713464b1;objTwoColors;#00FF00;0;0;0;1;1;0;17
57149713464b1;twoColorsObj;#FF0000;#00FF00;#FFFFFF;0;2;1;0;18
57149713464b1;twoColorsObj;#FF0000;#0000FF;#FFFFFF;0;1;1;0;19
57149713464b1;twoColorsObj;#00FF00;#0000FF;#FFFFFF;0;3;1;0;20
57149713464b1;twoColorsObj;#FF0000;#00FFFF;#FFFFFF;0;1;1;0;21
57149713464b1;twoColorsObj;#FF0000;#FF00FF;#FFFFFF;0;1;1;0;22
57149713464b1;twoColorsObj;#FF0000;#FFFF00;#FFFFFF;0;5;1;0;23
57149713464b1;twoColorsObj;#00FFFF;#FF00FF;#FFFFFF;0;1;1;0;24
57149713464b1;twoColorsObj;#FF00FF;#FFFF00;#FFFFFF;0;1;1;0;25
57149713464b1;twoColorsObj;#00FF00;#00FFFF;#FFFFFF;0;7;1;0;26
57149713464b1;twoColorsObj;#00FF00;#FF00FF;#FFFFFF;0;9;1;0;27
57149713464b1;twoColorsObj;#00FF00;#FFFF00;#FFFFFF;0;1;1;0;28
57149713464b1;twoColorsObj;#0000FF;#00FFFF;#FFFFFF;0;1;1;0;29
57149713464b1;twoColorsObj;#0000FF;#FF00FF;#FFFFFF;0;47;1;2;30
57149713464b1;twoColorsObj;#0000FF;#FFFF00;#FFFFFF;0;1;1;0;31
57149713464b1;twoColorsObj;#00FFFF;#FFFF00;#FFFFFF;0;3;1;0;32
57111b2c36e0c;twoColorsObj;#00FF00;#FFFF00;#FFFFFF;0;67;5;2;28
571163013744e;objTwoColors;#FF00FF;217;334;58;30;2;0;2
571163013744e;objTwoColors;#80FF00;47;254;288;48;5;0;3
571163013744e;objTwoColors;#FF8000;342;55;238;29;5;0;6
571163013744e;objTwoColors;#0000FF;209;329;82;121;2;0;7
571163013744e;objTwoColors;#FF0000;52;18;41;36;3;0;8
571163013744e;objTwoColors;#0080FF;197;307;17;30;2;0;10
571163013744e;objTwoColors;#8000FF;226;350;8;13;5;0;14
571163013744e;twoColorsObj;#FF0000;#0000FF;#FB0080;45;28;2;0;19
571163013744e;twoColorsObj;#FF0000;#FFFF00;#FF8000;5;5;5;0;23
571163013744e;twoColorsObj;#00FF00;#00FFFF;#00caff;37;207;3;0;26
571163013744e;twoColorsObj;#00FF00;#FF00FF;#7f00ff;3;62;3;0;27
571163013744e;twoColorsObj;#0000FF;#00FFFF;#00caff;23;19;2;0;29
571163013744e;twoColorsObj;#0000FF;#FFFF00;#00FF00;7;40;4;0;31
571289ef76e18;objTwoColors;#FFFF00;21;358;102;18;4;0;1
571289ef76e18;objTwoColors;#FF00FF;352;63;332;29;4;0;2
571289ef76e18;objTwoColors;#80FF00;56;357;280;42;5;0;3
571289ef76e18;objTwoColors;#7f00ff;207;349;504;43;3;0;4
571289ef76e18;objTwoColors;#FF8000;52;352;159;23;5;0;6
571289ef76e18;objTwoColors;#0000FF;316;182;144;110;5;0;7
571289ef76e18;objTwoColors;#FF0000;53;37;85;37;5;0;8
571289ef76e18;objTwoColors;#00FF80;173;67;654;48;4;0;9
571289ef76e18;objTwoColors;#0080FF;113;48;183;13;4;0;10
571289ef76e18;objTwoColors;#FF8000;56;350;128;9;4;0;11
571289ef76e18;objTwoColors;#80FF00;249;58;214;44;5;0;12
571289ef76e18;objTwoColors;#0080FF;183;302;143;57;5;0;13
571289ef76e18;objTwoColors;#8000FF;236;354;170;16;5;0;14
571289ef76e18;objTwoColors;#00FF80;68;214;500;26;4;0;15
571289ef76e18;objTwoColors;#FF007F;211;258;266;22;4;0;16
571289ef76e18;objTwoColors;#00FF00;53;190;105;22;5;0;17
571289ef76e18;twoColorsObj;#FF0000;#00FF00;#FFFF00;348;38;5;0;18
571289ef76e18;twoColorsObj;#FF0000;#0000FF;#7f00ff;286;18;5;0;19
571289ef76e18;twoColorsObj;#00FF00;#0000FF;#c9ab00;286;22;4;0;20
571289ef76e18;twoColorsObj;#FF0000;#00FFFF;#7f00ff;263;198;5;1;21
571289ef76e18;twoColorsObj;#FF0000;#FF00FF;#008080;270;26;5;0;22
571289ef76e18;twoColorsObj;#FF0000;#FFFF00;#FF9F00;31;7;5;0;23
571289ef76e18;twoColorsObj;#00FFFF;#FF00FF;#008080;495;31;4;0;24
571289ef76e18;twoColorsObj;#FF00FF;#FFFF00;#FF0050;1531;330;4;14;25
571289ef76e18;twoColorsObj;#00FF00;#00FFFF;#0000FF;73;17;4;0;26
571289ef76e18;twoColorsObj;#00FF00;#FF00FF;#0000FF;390;248;4;0;27
571289ef76e18;twoColorsObj;#00FF00;#FFFF00;#0000FF;85;23;4;0;28
571289ef76e18;twoColorsObj;#0000FF;#00FFFF;#B000FF;103;161;5;0;29
571289ef76e18;twoColorsObj;#0000FF;#FF00FF;#B000FF;319;58;3;0;30
571289ef76e18;twoColorsObj;#0000FF;#FFFF00;#00FF00;125;10;4;0;31
571289ef76e18;twoColorsObj;#00FFFF;#FFFF00;#80FF00;151;11;5;0;32
57113a5534205;objTwoColors;#FFFF00;51;59;104;15;5;0;1
57113a5534205;objTwoColors;#FF00FF;9;176;412;25;1;0;2
57113a5534205;objTwoColors;#7f00ff;238;6;198;12;5;0;4
57113a5534205;objTwoColors;#FF0080;4;223;370;10;5;0;5
57113a5534205;objTwoColors;#FF8000;4;54;123;24;5;0;6
57113a5534205;objTwoColors;#0000FF;234;233;283;20;5;0;7
57113a5534205;objTwoColors;#FF0000;7;10;180;11;5;0;8
57113a5534205;objTwoColors;#00FF80;44;242;411;24;4;0;9
57113a5534205;objTwoColors;#0080FF;236;0;135;13;5;0;10
57113a5534205;objTwoColors;#FF8000;4;55;102;17;5;0;11
57113a5534205;objTwoColors;#80FF00;59;219;492;20;5;0;12
57113a5534205;objTwoColors;#0080FF;238;0;113;12;5;0;13
57113a5534205;objTwoColors;#8000FF;238;3;180;10;5;0;14
57113a5534205;objTwoColors;#00FF80;53;212;649;50;4;0;15
57113a5534205;objTwoColors;#FF007F;5;223;410;22;5;0;16
57113a5534205;objTwoColors;#00FF00;53;235;211;12;5;0;17
57113a5534205;twoColorsObj;#FF0000;#00FF00;#c9b2a2;495;34;1;0;18
57113a5534205;twoColorsObj;#FF0000;#0000FF;#8000FF;139;7;5;0;19
57113a5534205;twoColorsObj;#00FF00;#0000FF;#46ff9c;223;9;4;0;20
57113a5534205;twoColorsObj;#FF0000;#00FFFF;#ab00ff;580;45;3;0;21
57113a5534205;twoColorsObj;#FF0000;#FF00FF;#FB0080;341;20;4;0;22
57113a5534205;twoColorsObj;#FF0000;#FFFF00;#FF6F00;111;14;5;0;23
57113a5534205;twoColorsObj;#00FFFF;#FF00FF;#c9b2a2;320;35;2;0;24
57113a5534205;twoColorsObj;#FF00FF;#FFFF00;#FF6755;2226;100;3;0;25
57113a5534205;twoColorsObj;#00FF00;#00FFFF;#00FF80;266;20;5;0;26
57113a5534205;twoColorsObj;#00FF00;#FF00FF;#808080;354;17;4;0;27
57113a5534205;twoColorsObj;#00FF00;#FFFF00;#B1FF00;261;55;3;0;28
57113a5534205;twoColorsObj;#0000FF;#00FFFF;#008080;702;30;4;0;29
57113a5534205;twoColorsObj;#0000FF;#FF00FF;#808080;211;5;4;0;30
57113a5534205;twoColorsObj;#0000FF;#FFFF00;#00FF00;238;16;5;0;31
57113a5534205;twoColorsObj;#00FFFF;#FFFF00;#00FF80;259;22;4;0;32
571123dc69a60;twoColorsObj;#00FF00;#0000FF;#00ffb7;287;35;3;0;20
571123dc69a60;twoColorsObj;#FF0000;#FF00FF;#ff0087;477;28;4;0;22
571123dc69a60;twoColorsObj;#00FF00;#FF00FF;#ffa6a6;252;20;1;0;27
571123dc69a60;twoColorsObj;#00FF00;#FFFF00;#c4ff9e;221;22;3;0;28
